room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Private room,129,1,27,0.9,365
Entire home/apt,174,1,24,0.8,261
Private room,129,5,14,1.3,336
Entire home/apt,135,3,21,2.4,72
Entire home/apt,168,7,10,1.1,274
Private room,115,1,17,5.5,311
Private room,150,5,1,1,59
Private room,70,10,3,0.7,365
Private room,68,2,11,0.2,281
Private room,119,1,123,1.9,64
Shared room,55,7,29,1.2,323
Private room,160,1,11,1,63
Entire home/apt,204,1,0,,274
Entire home/apt,185,2,1,0.2,154
Entire home/apt,166,1,31,1.2,361
Entire home/apt,450,3,1,0.7,290
Shared room,55,7,0,,365
Entire home/apt,270,3,5,0.1,137
Private room,70,14,11,3,0
Entire home/apt,100,20,1,0.7,244
Entire home/apt,80,3,0,,121
Shared room,199,2,0,,365
Entire home/apt,350,2,13,0.6,135
Entire home/apt,295,4,13,1.6,365
Entire home/apt,145,5,35,2.9,66
Private room,130,2,6,1.3,129
Entire home/apt,110,3,5,0.2,123
Private room,69,3,209,3.6,127
Private room,65,1,77,7.2,316
Private room,120,1,0,,57
Entire home/apt,149,1,91,2.1,318
Entire home/apt,198,14,4,0.5,34
Private room,116,1,0,,283
Entire home/apt,124,2,243,4.2,59
Entire home/apt,200,2,1,0.1,124
Private room,95,2,6,1.7,195
Private room,129,2,18,0.8,76
Private room,140,2,53,3.8,346
Private room,120,2,52,3.8,354
Entire home/apt,324,1,61,4.9,36
Shared room,53,3,2,0.8,297
Entire home/apt,165,4,41,3.8,283
Entire home/apt,138,5,1,0.2,129
Private room,240,3,2,0.1,351
Entire home/apt,129,2,8,1.1,209
Private room,100,1,1,0.1,339
Entire home/apt,465,3,17,0.8,150
Entire home/apt,245,1,1,0.1,284
Entire home/apt,225,3,1,0.1,301
Entire home/apt,175,2,1,0.7,309
Private room,130,1,0,,176
Entire home/apt,350,2,5,0.2,133
